Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Taenia solium Human Cysticercosis: A Systematic Review of Sero-epidemiological Data from Endemic Zones around the World.,/pubmed/26147942,"Coral-Almeida M, Gabriël S, Abatih EN, Praet N, Benitez W, Dorny P.",PLoS Negl Trop Dis. 2015 Jul 6;9(7):e0003919. doi: 10.1371/journal.pntd.0003919. eCollection 2015. Review.,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:26147942 | PMCID:PMC4493064,pubmed,26147942,create date:2015/07/07 | first author:Coral-Almeida M
Ebola virus disease: societal challenges and new treatments.,/pubmed/26147380,Mirazimi A.,J Intern Med. 2015 Sep;278(3):227-37. doi: 10.1111/joim.12386. Epub 2015 Jul 5. Review.,J Intern Med.  2015,PubMed,citation,PMID:26147380,pubmed,26147380,create date:2015/07/07 | first author:Mirazimi A
The within-host dynamics of African trypanosome infections.,/pubmed/26150654,"Matthews KR, McCulloch R, Morrison LJ.",Philos Trans R Soc Lond B Biol Sci. 2015 Aug 19;370(1675). pii: 20140288. doi: 10.1098/rstb.2014.0288. Review.,Philos Trans R Soc Lond B Biol Sci.  2015,PubMed,citation,PMID:26150654 | PMCID:PMC4528486,pubmed,26150654,create date:2015/07/08 | first author:Matthews KR
Mathematical Models for Estimating the Risks of Bovine Spongiform Encephalopathy (BSE).,/pubmed/26158300,"Al-Zoughool M, Cottrell D, Elsaadany S, Murray N, Oraby T, Smith R, Krewski D.",J Toxicol Environ Health B Crit Rev. 2015;18(2):71-104. doi: 10.1080/10937404.2015.1036963. Review.,J Toxicol Environ Health B Crit Rev.  2015,PubMed,citation,PMID:26158300,pubmed,26158300,create date:2015/07/15 | first author:Al-Zoughool M
The Infectious and Noninfectious Dermatological Consequences of Flooding: A Field Manual for the Responding Provider.,/pubmed/26159354,"Bandino JP, Hang A, Norton SA.",Am J Clin Dermatol. 2015 Oct;16(5):399-424. doi: 10.1007/s40257-015-0138-4. Review.,Am J Clin Dermatol.  2015,PubMed,citation,PMID:26159354,pubmed,26159354,create date:2015/07/15 | first author:Bandino JP
Pets' Impact on Your Patients' Health: Leveraging Benefits and Mitigating Risk.,/pubmed/26152446,"Hodgson K, Barton L, Darling M, Antao V, Kim FA, Monavvari A.",J Am Board Fam Med. 2015 Jul-Aug;28(4):526-34. doi: 10.3122/jabfm.2015.04.140254. Review.,J Am Board Fam Med.  2015,PubMed,citation,PMID:26152446,pubmed,26152446,create date:2015/07/15 | first author:Hodgson K
Global Distribution and Prevalence of Arcobacter in Food and Water.,/pubmed/26172312,"Hsu TT, Lee J.",Zoonoses Public Health. 2015 Dec;62(8):579-89. doi: 10.1111/zph.12215. Epub 2015 Jul 14. Review.,Zoonoses Public Health.  2015,PubMed,citation,PMID:26172312,pubmed,26172312,create date:2015/07/15 | first author:Hsu TT
Cat-scratch disease: a wide spectrum of clinical pictures.,/pubmed/26161064,"Mazur-Melewska K, Mania A, Kemnitz P, Figlerowicz M, Służewski W.",Postepy Dermatol Alergol. 2015 Jun;32(3):216-20. doi: 10.5114/pdia.2014.44014. Epub 2015 Jun 15. Review.,Postepy Dermatol Alergol.  2015,PubMed,citation,PMID:26161064 | PMCID:PMC4495109,pubmed,26161064,create date:2015/07/15 | first author:Mazur-Melewska K
Long-term sequelae of West Nile virus-related illness: a systematic review.,/pubmed/26163373,"Patel H, Sander B, Nelder MP.",Lancet Infect Dis. 2015 Aug;15(8):951-9. doi: 10.1016/S1473-3099(15)00134-6. Epub 2015 Jul 7. Review.,Lancet Infect Dis.  2015,PubMed,citation,PMID:26163373,pubmed,26163373,create date:2015/07/15 | first author:Patel H
Transmission ecology of rodent-borne diseases: New frontiers.,/pubmed/26176684,"Bordes F, Blasdell K, Morand S.",Integr Zool. 2015 Sep;10(5):424-35. doi: 10.1111/1749-4877.12149. Review.,Integr Zool.  2015,PubMed,citation,PMID:26176684,pubmed,26176684,create date:2015/07/16 | first author:Bordes F
"Epidemiology, Clinical Presentation, Laboratory Diagnosis, Antimicrobial Resistance, and Antimicrobial Management of Invasive Salmonella Infections.",/pubmed/26180063,"Crump JA, Sjölund-Karlsson M, Gordon MA, Parry CM.",Clin Microbiol Rev. 2015 Oct;28(4):901-37. doi: 10.1128/CMR.00002-15. Review.,Clin Microbiol Rev.  2015,PubMed,citation,PMID:26180063 | PMCID:PMC4503790,pubmed,26180063,create date:2015/07/17 | first author:Crump JA
Description of five dirofilariasis cases in South Hungary and review epidemiology of this disease for the country.,/pubmed/26178869,"Dóczi I, Bereczki L, Gyetvai T, Fejes I, Skribek Á, Szabó Á, Berkes S, Tiszlavicz L, Bartha N, Bende B, Kis E, Kucsera I.",Wien Klin Wochenschr. 2015 Sep;127(17-18):696-702. doi: 10.1007/s00508-015-0825-4. Epub 2015 Jul 16. Review.,Wien Klin Wochenschr.  2015,PubMed,citation,PMID:26178869,pubmed,26178869,create date:2015/07/17 | first author:Dóczi I
Consensus report: Preventive measures for Crimean-Congo Hemorrhagic Fever during Eid-al-Adha festival.,/pubmed/26183413,"Leblebicioglu H, Sunbul M, Memish ZA, Al-Tawfiq JA, Bodur H, Ozkul A, Gucukoglu A, Chinikar S, Hasan Z.",Int J Infect Dis. 2015 Sep;38:9-15. doi: 10.1016/j.ijid.2015.06.029. Epub 2015 Jul 14. Review.,Int J Infect Dis.  2015,PubMed,citation,PMID:26183413,pubmed,26183413,create date:2015/07/18 | first author:Leblebicioglu H
Eco-epidemiology of visceral leishmaniasis in Ethiopia.,/pubmed/26187584,"Gadisa E, Tsegaw T, Abera A, Elnaiem DE, den Boer M, Aseffa A, Jorge A.",Parasit Vectors. 2015 Jul 19;8:381. doi: 10.1186/s13071-015-0987-y. Review.,Parasit Vectors.  2015,PubMed,citation,PMID:26187584 | PMCID:PMC4506599,pubmed,26187584,create date:2015/07/19 | first author:Gadisa E
"Climate Change, Drought and Human Health in Canada.",/pubmed/26193300,"Yusa A, Berry P, J Cheng J, Ogden N, Bonsal B, Stewart R, Waldick R.",Int J Environ Res Public Health. 2015 Jul 17;12(7):8359-412. doi: 10.3390/ijerph120708359. Review.,Int J Environ Res Public Health.  2015,PubMed,citation,PMID:26193300 | PMCID:PMC4515727,pubmed,26193300,create date:2015/07/21 | first author:Yusa A
Research advances in microneme protein 3 of Toxoplasma gondii.,/pubmed/26194005,"Wang Y, Yin H.",Parasit Vectors. 2015 Jul 22;8:384. doi: 10.1186/s13071-015-1001-4. Review.,Parasit Vectors.  2015,PubMed,citation,PMID:26194005 | PMCID:PMC4509771,pubmed,26194005,create date:2015/07/22 | first author:Wang Y
"Plague in Egypt: Disease biology, history and contemporary analysis: A minireview.",/pubmed/26199744,Lotfy WM.,J Adv Res. 2015 Jul;6(4):549-54. doi: 10.1016/j.jare.2013.11.002. Epub 2013 Nov 14. Review.,J Adv Res.  2015,PubMed,citation,PMID:26199744 | PMCID:PMC4506964,pubmed,26199744,create date:2015/07/23 | first author:Lotfy WM
Crimean-Congo Hemorrhagic Fever.,/pubmed/26199256,"Shayan S, Bokaean M, Shahrivar MR, Chinikar S.",Lab Med. 2015 Summer;46(3):180-9. doi: 10.1309/LMN1P2FRZ7BKZSCO. Review.,Lab Med.  2015,PubMed,citation,PMID:26199256,pubmed,26199256,create date:2015/07/23 | first author:Shayan S
"Bat-to-human: spike features determining 'host jump' of coronaviruses SARS-CoV, MERS-CoV, and beyond.",/pubmed/26206723,"Lu G, Wang Q, Gao GF.",Trends Microbiol. 2015 Aug;23(8):468-78. doi: 10.1016/j.tim.2015.06.003. Epub 2015 Jul 21. Review.,Trends Microbiol.  2015,PubMed,citation,PMID:26206723,pubmed,26206723,create date:2015/07/25 | first author:Lu G
Safety monitoring in the Vaccine Adverse Event Reporting System (VAERS).,/pubmed/26209838,"Shimabukuro TT, Nguyen M, Martin D, DeStefano F.",Vaccine. 2015 Aug 26;33(36):4398-405. doi: 10.1016/j.vaccine.2015.07.035. Epub 2015 Jul 22. Review.,Vaccine.  2015,PubMed,citation,PMID:26209838 | PMCID:PMC4632204,pubmed,26209838,create date:2015/07/26 | first author:Shimabukuro TT
Use of colistin-containing products within the European Union and European Economic Area (EU/EEA): development of resistance in animals and possible impact on human and animal health.,/pubmed/26215780,"Catry B, Cavaleri M, Baptiste K, Grave K, Grein K, Holm A, Jukes H, Liebana E, Lopez Navas A, Mackay D, Magiorakos AP, Moreno Romo MA, Moulin G, Muñoz Madero C, Matias Ferreira Pomba MC, Powell M, Pyörälä S, Rantala M, Ružauskas M, Sanders P, Teale C, Threlfall EJ, et al.",Int J Antimicrob Agents. 2015 Sep;46(3):297-306. doi: 10.1016/j.ijantimicag.2015.06.005. Epub 2015 Jun 29. Review.,Int J Antimicrob Agents.  2015,PubMed,citation,PMID:26215780,pubmed,26215780,create date:2015/07/29 | first author:Catry B
Host response to Brucella infection: review and future perspective.,/pubmed/26230118,"Elfaki MG, Alaidan AA, Al-Hokail AA.",J Infect Dev Ctries. 2015 Jul 30;9(7):697-701. doi: 10.3855/jidc.6625. Review.,J Infect Dev Ctries.  2015,PubMed,citation,PMID:26230118,pubmed,26230118,create date:2015/08/01 | first author:Elfaki MG
Industrial Food Animal Production and Community Health.,/pubmed/26231503,"Casey JA, Kim BF, Larsen J, Price LB, Nachman KE.",Curr Environ Health Rep. 2015 Sep;2(3):259-71. doi: 10.1007/s40572-015-0061-0. Review.,Curr Environ Health Rep.  2015,PubMed,citation,PMID:26231503,pubmed,26231503,create date:2015/08/02 | first author:Casey JA
Present and future therapies of hepatitis B: From discovery to cure.,/pubmed/26239691,"Liang TJ, Block TM, McMahon BJ, Ghany MG, Urban S, Guo JT, Locarnini S, Zoulim F, Chang KM, Lok AS.",Hepatology. 2015 Dec;62(6):1893-908. doi: 10.1002/hep.28025. Epub 2015 Oct 27. Review.,Hepatology.  2015,PubMed,citation,PMID:26239691 | PMCID:PMC4681668,pubmed,26239691,create date:2015/08/05 | first author:Liang TJ
Management of imported cutaneous larva migrans: A case series and mini-review.,/pubmed/26243366,"Kincaid L, Klowak M, Klowak S, Boggild AK.",Travel Med Infect Dis. 2015 Sep-Oct;13(5):382-7. doi: 10.1016/j.tmaid.2015.07.007. Epub 2015 Jul 29. Review.,Travel Med Infect Dis.  2015,PubMed,citation,PMID:26243366,pubmed,26243366,create date:2015/08/06 | first author:Kincaid L
Chlamydiaceae and chlamydial infections in sheep or goats.,/pubmed/26255554,"Rodolakis A, Laroucau K.",Vet Microbiol. 2015 Dec 14;181(1-2):107-18. doi: 10.1016/j.vetmic.2015.07.010. Epub 2015 Jul 20. Review.,Vet Microbiol.  2015,PubMed,citation,PMID:26255554,pubmed,26255554,create date:2015/08/11 | first author:Rodolakis A
Epidemiological changes in tinea capitis over the sixty years of economic growth in China.,/pubmed/26260745,"Zhan P, Li D, Wang C, Sun J, Geng C, Xiong Z, Seyedmousavi S, Liu W, de Hoog GS.",Med Mycol. 2015 Sep;53(7):691-8. doi: 10.1093/mmy/myv057. Epub 2015 Aug 10. Review.,Med Mycol.  2015,PubMed,citation,PMID:26260745,pubmed,26260745,create date:2015/08/12 | first author:Zhan P
Ebola Virus Disease (The Killer Virus): Another Threat to Humans and Bioterrorism: Brief Review and Recent Updates.,/pubmed/26266139,"Passi D, Sharma S, Dutta SR, Dudeja P, Sharma V.",J Clin Diagn Res. 2015 Jun;9(6):LE01-8. doi: 10.7860/JCDR/2015/13062.6100. Epub 2015 Jun 1. Review.,J Clin Diagn Res.  2015,PubMed,citation,PMID:26266139 | PMCID:PMC4525528,pubmed,26266139,create date:2015/08/13 | first author:Passi D
The present and future of veterinary vaccines for Japanese encephalitis in Korea.,/pubmed/26273571,"Nah JJ, Yang DK, Kim HH, Song JY.",Clin Exp Vaccine Res. 2015 Jul;4(2):130-6. doi: 10.7774/cevr.2015.4.2.130. Epub 2015 Jul 29. Review.,Clin Exp Vaccine Res.  2015,PubMed,citation,PMID:26273571 | PMCID:PMC4524897,pubmed,26273571,create date:2015/08/15 | first author:Nah JJ
Zoonotic risks from small ruminants.,/pubmed/26275853,Ganter M.,Vet Microbiol. 2015 Dec 14;181(1-2):53-65. doi: 10.1016/j.vetmic.2015.07.015. Epub 2015 Jul 15. Review.,Vet Microbiol.  2015,PubMed,citation,PMID:26275853,pubmed,26275853,create date:2015/08/16 | first author:Ganter M
Diagnostics and Discovery in Viral Central Nervous System Infections.,/pubmed/26276023,"Lipkin WI, Hornig M.",Brain Pathol. 2015 Sep;25(5):600-4. doi: 10.1111/bpa.12277. Review.,Brain Pathol.  2015,PubMed,citation,PMID:26276023,pubmed,26276023,create date:2015/08/16 | first author:Lipkin WI
Exposure to Macaque Monkey Bite.,/pubmed/26281802,"Johnston WF, Yeh J, Nierenberg R, Procopio G.",J Emerg Med. 2015 Nov;49(5):634-7. doi: 10.1016/j.jemermed.2015.06.012. Epub 2015 Aug 15. Review.,J Emerg Med.  2015,PubMed,citation,PMID:26281802,pubmed,26281802,create date:2015/08/19 | first author:Johnston WF
Models for managing wildlife disease.,/pubmed/26283059,McCALLUM H.,Parasitology. 2016 Jun;143(7):805-20. doi: 10.1017/S0031182015000980. Epub 2015 Aug 18. Review.,Parasitology.  2016,PubMed,citation,PMID:26283059,pubmed,26283059,create date:2015/08/19 | first author:McCALLUM H
"Rift Valley fever virus: A review of diagnosis and vaccination, and implications for emergence in Europe.",/pubmed/26296499,"Mansfield KL, Banyard AC, McElhinney L, Johnson N, Horton DL, Hernández-Triana LM, Fooks AR.",Vaccine. 2015 Oct 13;33(42):5520-5531. doi: 10.1016/j.vaccine.2015.08.020. Epub 2015 Aug 19. Review.,Vaccine.  2015,PubMed,citation,PMID:26296499,pubmed,26296499,create date:2015/08/25 | first author:Mansfield KL
Evolutionary aspects of emerging Lyme disease in Canada.,/pubmed/26296723,"Ogden NH, Feil EJ, Leighton PA, Lindsay LR, Margos G, Mechai S, Michel P, Moriarty TJ.",Appl Environ Microbiol. 2015 Nov;81(21):7350-9. doi: 10.1128/AEM.01671-15. Epub 2015 Aug 21. Review.,Appl Environ Microbiol.  2015,PubMed,citation,PMID:26296723 | PMCID:PMC4592865,pubmed,26296723,create date:2015/08/25 | first author:Ogden NH
Unfolded Protein Response Pathways in Neurodegenerative Diseases.,/pubmed/26304853,"Shah SZ, Zhao D, Khan SH, Yang L.",J Mol Neurosci. 2015 Dec;57(4):529-37. doi: 10.1007/s12031-015-0633-3. Epub 2015 Aug 25. Review.,J Mol Neurosci.  2015,PubMed,citation,PMID:26304853,pubmed,26304853,create date:2015/08/26 | first author:Shah SZ
Oral Campylobacter species: Initiators of a subgroup of inflammatory bowel disease?,/pubmed/26309350,Zhang L.,World J Gastroenterol. 2015 Aug 21;21(31):9239-44. doi: 10.3748/wjg.v21.i31.9239. Review.,World J Gastroenterol.  2015,PubMed,citation,PMID:26309350 | PMCID:PMC4541376,pubmed,26309350,create date:2015/08/27 | first author:Zhang L
Assessing the Potential Role of Pigs in the Epidemiology of Ebola Virus in Uganda.,/pubmed/26310206,"Atherstone C, Smith E, Ochungo P, Roesel K, Grace D.",Transbound Emerg Dis. 2017 Apr;64(2):333-343. doi: 10.1111/tbed.12394. Epub 2015 Aug 27. Review.,Transbound Emerg Dis.  2017,PubMed,citation,PMID:26310206,pubmed,26310206,create date:2015/08/28 | first author:Atherstone C
Potential Relevance of Melatonin Against Some Infectious Agents: A Review and Assessment of Recent Research.,/pubmed/26310920,"Elmahallawy EK, Luque JO, Aloweidi AS, Gutiérrez-Fernández J, Sampedro-Martínez A, Rodriguez-Granger J, Kaki A, Agil A.",Curr Med Chem. 2015;22(33):3848-61. Review.,Curr Med Chem.  2015,PubMed,citation,PMID:26310920,pubmed,26310920,create date:2015/08/28 | first author:Elmahallawy EK
Preventing transfer of infectious agents.,/pubmed/26316157,"Denner J, Mueller NJ.",Int J Surg. 2015 Nov;23(Pt B):306-311. doi: 10.1016/j.ijsu.2015.08.032. Epub 2015 Aug 24. Review.,Int J Surg.  2015,PubMed,citation,PMID:26316157,pubmed,26316157,create date:2015/09/01 | first author:Denner J
Opening the black box of Anaplasma phagocytophilum diversity: current situation and future perspectives.,/pubmed/26322277,"Dugat T, Lagrée AC, Maillard R, Boulouis HJ, Haddad N.",Front Cell Infect Microbiol. 2015 Aug 14;5:61. doi: 10.3389/fcimb.2015.00061. eCollection 2015. Review.,Front Cell Infect Microbiol.  2015,PubMed,citation,PMID:26322277 | PMCID:PMC4536383,pubmed,26322277,create date:2015/09/01 | first author:Dugat T
Temperature-sensitive mutations for live-attenuated Rift Valley fever vaccines: implications from other RNA viruses.,/pubmed/26322023,"Nishiyama S, Ikegami T.",Front Microbiol. 2015 Aug 11;6:787. doi: 10.3389/fmicb.2015.00787. eCollection 2015. Review.,Front Microbiol.  2015,PubMed,citation,PMID:26322023 | PMCID:PMC4531298,pubmed,26322023,create date:2015/09/01 | first author:Nishiyama S
Orf virus infection in sheep or goats.,/pubmed/26315771,"Spyrou V, Valiakos G.",Vet Microbiol. 2015 Dec 14;181(1-2):178-82. doi: 10.1016/j.vetmic.2015.08.010. Epub 2015 Aug 12. Review.,Vet Microbiol.  2015,PubMed,citation,PMID:26315771,pubmed,26315771,create date:2015/09/01 | first author:Spyrou V
Coxiella burnetii infections in sheep or goats: an opinionated review.,/pubmed/26315774,"Van den Brom R, van Engelen E, Roest HI, van der Hoek W, Vellema P.",Vet Microbiol. 2015 Dec 14;181(1-2):119-29. doi: 10.1016/j.vetmic.2015.07.011. Epub 2015 Jul 15. Review.,Vet Microbiol.  2015,PubMed,citation,PMID:26315774,pubmed,26315774,create date:2015/09/01 | first author:Van den Brom R
Echinococcus infections in the Baltic region.,/pubmed/26324242,"Marcinkutė A, Šarkūnas M, Moks E, Saarma U, Jokelainen P, Bagrade G, Laivacuma S, Strupas K, Sokolovas V, Deplazes P.",Vet Parasitol. 2015 Oct 30;213(3-4):121-31. doi: 10.1016/j.vetpar.2015.07.032. Epub 2015 Jul 31. Review.,Vet Parasitol.  2015,PubMed,citation,PMID:26324242,pubmed,26324242,create date:2015/09/02 | first author:Marcinkutė A
Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows.,/pubmed/26327444,"Diatta G, Duplantier JM, Granjon L, Bâ K, Chauvancy G, Ndiaye M, Trape JF.",Acta Trop. 2015 Dec;152:131-40. doi: 10.1016/j.actatropica.2015.08.016. Epub 2015 Sep 19. Review.,Acta Trop.  2015,PubMed,citation,PMID:26327444,pubmed,26327444,create date:2015/09/04 | first author:Diatta G
The Role of Early-Phase Transmission in the Spread of Yersinia pestis.,/pubmed/26336267,"Eisen RJ, Dennis DT, Gage KL.",J Med Entomol. 2015 Nov;52(6):1183-92. doi: 10.1093/jme/tjv128. Epub 2015 Aug 19. Review.,J Med Entomol.  2015,PubMed,citation,PMID:26336267 | PMCID:PMC4636957,pubmed,26336267,create date:2015/09/04 | first author:Eisen RJ
The Evolving Medical and Veterinary Importance of the Gulf Coast tick (Acari: Ixodidae).,/pubmed/26336308,"Paddock CD, Goddard J.",J Med Entomol. 2015 Mar;52(2):230-52. doi: 10.1093/jme/tju022. Epub 2015 Feb 24. Review.,J Med Entomol.  2015,PubMed,citation,PMID:26336308,pubmed,26336308,create date:2015/09/04 | first author:Paddock CD
Cardiac Adrenergic Nervous System and Left Ventricular Remodeling.,/pubmed/26332730,"Samson R, Baydoun H, Jaiswal A, Le Jemtel TH.",Am J Med Sci. 2015 Oct;350(4):321-6. doi: 10.1097/MAJ.0000000000000549. Review.,Am J Med Sci.  2015,PubMed,citation,PMID:26332730,pubmed,26332730,create date:2015/09/04 | first author:Samson R
The Diverse Forms of Lactose Intolerance and the Putative Linkage to Several Cancers.,/pubmed/26343715,"Amiri M, Diekmann L, von Köckritz-Blickwede M, Naim HY.",Nutrients. 2015 Aug 28;7(9):7209-30. doi: 10.3390/nu7095332. Review.,Nutrients.  2015,PubMed,citation,PMID:26343715 | PMCID:PMC4586527,pubmed,26343715,create date:2015/09/08 | first author:Amiri M
Food Safety in Low and Middle Income Countries.,/pubmed/26343693,Grace D.,Int J Environ Res Public Health. 2015 Aug 27;12(9):10490-507. doi: 10.3390/ijerph120910490. Review.,Int J Environ Res Public Health.  2015,PubMed,citation,PMID:26343693 | PMCID:PMC4586623,pubmed,26343693,create date:2015/09/08 | first author:Grace D
Canine leishmaniosis - an emerging disease.,/pubmed/26342500,"Kaszak I, Planellas M, Dworecka-Kaszak B.",Ann Parasitol. 2015;61(2):69-76. Review.,Ann Parasitol.  2015,PubMed,citation,PMID:26342500,pubmed,26342500,create date:2015/09/08 | first author:Kaszak I
Hepatitis E: an emerging global disease - from discovery towards control and cure.,/pubmed/26344932,"Khuroo MS, Khuroo MS.",J Viral Hepat. 2016 Feb;23(2):68-79. doi: 10.1111/jvh.12445. Epub 2015 Sep 6. Review.,J Viral Hepat.  2016,PubMed,citation,PMID:26344932,pubmed,26344932,create date:2015/09/08 | first author:Khuroo MS
Optimal Use of Vaccines for Control of Influenza A Virus in Swine.,/pubmed/26344946,"Sandbulte MR, Spickler AR, Zaabel PK, Roth JA.",Vaccines (Basel). 2015 Jan 30;3(1):22-73. doi: 10.3390/vaccines3010022. Review.,Vaccines (Basel).  2015,PubMed,citation,PMID:26344946 | PMCID:PMC4494241,pubmed,26344946,create date:2015/09/08 | first author:Sandbulte MR
Anaplasma marginale and Anaplasma phagocytophilum: Rickettsiales pathogens of veterinary and public health significance.,/pubmed/26346451,Atif FA.,Parasitol Res. 2015 Nov;114(11):3941-57. doi: 10.1007/s00436-015-4698-2. Epub 2015 Sep 7. Review.,Parasitol Res.  2015,PubMed,citation,PMID:26346451,pubmed,26346451,create date:2015/09/09 | first author:Atif FA
Diseases Transmitted by Man's Best Friend: The Dog.,/pubmed/26350317,"Jacob J, Lorber B.",Microbiol Spectr. 2015 Aug;3(4). doi: 10.1128/microbiolspec.IOL5-0002-2015. Review.,Microbiol Spectr.  2015,PubMed,citation,PMID:26350317,pubmed,26350317,create date:2015/09/10 | first author:Jacob J
Diseases Transmitted by Birds.,/pubmed/26350315,Levison ME.,Microbiol Spectr. 2015 Aug;3(4). doi: 10.1128/microbiolspec.IOL5-0004-2015. Review.,Microbiol Spectr.  2015,PubMed,citation,PMID:26350315,pubmed,26350315,create date:2015/09/10 | first author:Levison ME
Role of the Environment in the Transmission of Antimicrobial Resistance to Humans: A Review.,/pubmed/26355462,"Huijbers PM, Blaak H, de Jong MC, Graat EA, Vandenbroucke-Grauls CM, de Roda Husman AM.",Environ Sci Technol. 2015 Oct 20;49(20):11993-2004. doi: 10.1021/acs.est.5b02566. Epub 2015 Sep 28. Review.,Environ Sci Technol.  2015,PubMed,citation,PMID:26355462,pubmed,26355462,create date:2015/09/12 | first author:Huijbers PM
Visceral Leishmaniasis in China: an Endemic Disease under Control.,/pubmed/26354822,"Lun ZR, Wu MS, Chen YF, Wang JY, Zhou XN, Liao LF, Chen JP, Chow LM, Chang KP.",Clin Microbiol Rev. 2015 Oct;28(4):987-1004. doi: 10.1128/CMR.00080-14. Review.,Clin Microbiol Rev.  2015,PubMed,citation,PMID:26354822 | PMCID:PMC4575399,pubmed,26354822,create date:2015/09/12 | first author:Lun ZR
Current Knowledge on Hepatitis E.,/pubmed/26355220,"Pérez-Gracia MT, García M, Suay B, Mateos-Lindemann ML.",J Clin Transl Hepatol. 2015 Jun 28;3(2):117-26. doi: 10.14218/JCTH.2015.00009. Epub 2015 Jun 15. Review.,J Clin Transl Hepatol.  2015,PubMed,citation,PMID:26355220 | PMCID:PMC4548356,pubmed,26355220,create date:2015/09/12 | first author:Pérez-Gracia MT
Cross-species transmission of canine distemper virus-an update.,/pubmed/28616465,"Beineke A, Baumgärtner W, Wohlsein P.",One Health. 2015 Sep 13;1:49-59. doi: 10.1016/j.onehlt.2015.09.002. eCollection 2015 Dec. Review.,One Health.  2015,PubMed,citation,PMID:28616465 | PMCID:PMC5462633,pubmed,28616465,create date:2015/09/13 | first author:Beineke A
Epidemiology of Leptospirosis in Africa: A Systematic Review of a Neglected Zoonosis and a Paradigm for 'One Health' in Africa.,/pubmed/26368568,"Allan KJ, Biggs HM, Halliday JE, Kazwala RR, Maro VP, Cleaveland S, Crump JA.",PLoS Negl Trop Dis. 2015 Sep 14;9(9):e0003899. doi: 10.1371/journal.pntd.0003899. eCollection 2015. Review. Erratum in: PLoS Negl Trop Dis. 2016 Mar;10(3):e0004552. ,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:26368568 | PMCID:PMC4569256,pubmed,26368568,create date:2015/09/15 | first author:Allan KJ
Global Morbidity and Mortality of Leptospirosis: A Systematic Review.,/pubmed/26379143,"Costa F, Hagan JE, Calcagno J, Kane M, Torgerson P, Martinez-Silveira MS, Stein C, Abela-Ridder B, Ko AI.",PLoS Negl Trop Dis. 2015 Sep 17;9(9):e0003898. doi: 10.1371/journal.pntd.0003898. eCollection 2015. Review.,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:26379143 | PMCID:PMC4574773,pubmed,26379143,create date:2015/09/18 | first author:Costa F
Chronic hepatitis E: A brief review.,/pubmed/26380044,"Murali AR, Kotwal V, Chawla S.",World J Hepatol. 2015 Sep 8;7(19):2194-201. doi: 10.4254/wjh.v7.i19.2194. Review.,World J Hepatol.  2015,PubMed,citation,PMID:26380044 | PMCID:PMC4561773,pubmed,26380044,create date:2015/09/18 | first author:Murali AR
Environmental and Behavioural Determinants of Leptospirosis Transmission: A Systematic Review.,/pubmed/26379035,"Mwachui MA, Crump L, Hartskeerl R, Zinsstag J, Hattendorf J.",PLoS Negl Trop Dis. 2015 Sep 17;9(9):e0003843. doi: 10.1371/journal.pntd.0003843. eCollection 2015. Review.,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:26379035 | PMCID:PMC4574979,pubmed,26379035,create date:2015/09/18 | first author:Mwachui MA
"Verotoxigenic Escherichia coli transmission in Ireland: a review of notified outbreaks, 2004-2012.",/pubmed/26384128,"Garvey P, Carroll A, McNAMARA E, McKEOWN PJ.",Epidemiol Infect. 2016 Apr;144(5):917-26. doi: 10.1017/S0950268815002034. Epub 2015 Sep 18. Review.,Epidemiol Infect.  2016,PubMed,citation,PMID:26384128,pubmed,26384128,create date:2015/09/19 | first author:Garvey P
Influenza A virus transmission via respiratory aerosols or droplets as it relates to pandemic potential.,/pubmed/26385895,"Richard M, Fouchier RA.",FEMS Microbiol Rev. 2016 Jan;40(1):68-85. doi: 10.1093/femsre/fuv039. Epub 2015 Sep 17. Review.,FEMS Microbiol Rev.  2016,PubMed,citation,PMID:26385895 | PMCID:PMC5006288,pubmed,26385895,create date:2015/09/20 | first author:Richard M
Regulation of the renal sympathetic nerves in heart failure.,/pubmed/26388778,"Ramchandra R, Barrett CJ.",Front Physiol. 2015 Aug 25;6:238. doi: 10.3389/fphys.2015.00238. eCollection 2015. Review.,Front Physiol.  2015,PubMed,citation,PMID:26388778 | PMCID:PMC4556040,pubmed,26388778,create date:2015/09/22 | first author:Ramchandra R
A Taxonomic Update of Small Mammal Plague Reservoirs in South America.,/pubmed/26393822,"Bonvicino CR, Oliveira JA, Cordeiro-Estrela P, D'andrea PS, Almeida AM.",Vector Borne Zoonotic Dis. 2015 Oct;15(10):571-9. doi: 10.1089/vbz.2015.1788. Epub 2015 Sep 22. Review.,Vector Borne Zoonotic Dis.  2015,PubMed,citation,PMID:26393822,pubmed,26393822,create date:2015/09/24 | first author:Bonvicino CR
Communicable diseases in rural and remote Australia: the need for improved understanding and action.,/pubmed/26391139,"Quinn EK, Massey PD, Speare R.",Rural Remote Health. 2015 Jul-Sep;15(3):3371. Epub 2015 Sep 21. Review.,Rural Remote Health.  2015,PubMed,citation,PMID:26391139,pubmed,26391139,create date:2015/09/24 | first author:Quinn EK
