"authors","title","year","journal","search","abstract"
"Choe, H; Jemielity, S; Abraham, J; Radoshitzky, SR; Farzan, M","transferrin receptor 1 in the zoonosis and pathogenesis of new world hemorrhagic fever arenaviruses","2011","CURRENT OPINION IN MICROBIOLOGY","Web of Science","At least five New World arenaviruses cause severe human hemorrhagic fevers. These viruses are transmitted to humans through contact with their respective South American rodent hosts. Each uses human transferrin receptor 1 (TfR1) as its obligate receptor. Accidental similarities between human TfR1 and TfR1 orthologs of arenaviral host species enable zoonoses, whereas mice and rats are not infectable because they lack these TfR1 determinants of infection. All pathogenic New World arenaviruses bind to a common region of the apical domain of TfR1. The ability of a New World arenavirus to use human TfR1 is absolutely predictive of its ability to cause hemorrhagic fevers in humans. Nonpathogenic arenaviruses, closely related to hemorrhagic fever arenaviruses, cannot utilize human TfR1 but efficiently enter cells through TfR1 orthologs of their native rodent hosts. Mutagenesis studies suggest that minor changes in the entry glycoproteins of these nonpathogenic viruses may allow human transmission. TfR1 is upregulated as a result of iron sequestration during the acute-phase response to infection, and the severity of disease may result from amplification of viral replication during this response."
"Dara O'Rourke, Niklas Lollo","transforming consumption: from decoupling to behavior change to system changes for sustainable consumption","2015","Annual Review of Environment and Resources","Annual Reviews","Consumption, although often considered an individual choice, is deeply ingrained in behaviors, cultures, and institutions, and is driven and supported by corporate and government practices. Consumption is also at the heart of many of our most critical ecological, health, and social problems. What is referred to broadly as sustainable consumption has primarily focused on making consumption more efficient and gradually decoupling it from energy and resource use. We argue for the need to focus sustainable consumption initiatives on the key impact areas of consumption<U+0097>transport, housing, energy use, and food<U+0097>and at deeper levels of system change. To meet the scale of the sustainability challenges we face, interventions and policies must move from relative decoupling via technological improvements, to strategies to change the behavior of individual consumers, to broader initiatives to change systems of production and consumption. We seek to connect these emerging literatures on behavior change, structural interventions, and sustainability transitions to arrive at integrated frameworks for learning, iteration, and scaling of sustainability innovations. We sketch the outlines of research and practice that offer potentials for system changes for truly sustainable consumption."
"Leiby, DA","transfusion-transmitted babesia spp: bull's-eye on babesia microti","2011","CLINICAL MICROBIOLOGY REVIEWS","Web of Science","Babesia spp. are intraerythrocytic protozoan parasites of animals and humans that cause babesiosis, a zoonotic disease transmitted primarily by tick vectors. Although a variety of species or types of Babesia have been described in the literature as causing infection in humans, the rodent parasite Babesia microti has emerged as the focal point of human disease, especially in the United States. Not only has B. microti become established as a public health concern, this agent is increasingly being transmitted by blood transfusion: estimates suggest that between 70 and 100 cases of transfusion-transmitted Babesia (TTB) have occurred over the last 30 years. A recent upsurge in TTB cases attributable to B. microti, coupled with at least 12 fatalities in transfusion recipients diagnosed with babesiosis, has elevated TTB to a key policy issue in transfusion medicine. Despite a clear need to mitigate transmission risk, few options are currently available to prevent the transmission of B. microti by blood transfusion. Future mitigation efforts may stress serological screening of blood donors in regionalized areas of endemicity, with adjunct nucleic acid testing during the summer months, when acute infections are prevalent. However, several hurdles remain, including the absence of a licensed blood screening assay and a thorough cost-benefit analysis of proposed interventions. Despite current obstacles, continued discussion of TTB without proactive intervention is no longer a viable alternative."
"Bajpai, M; Gupta, E","transfusion-transmitted hepatitis e: is screening warranted?","2011","INDIAN JOURNAL OF MEDICAL MICROBIOLOGY","Web of Science","Hepatitis E virus (HEV) is an emerging infectious threat to blood safety. In recent years, there have been a number of publications delineating this threat by providing evidence of the transmissibility of this virus through transfusions. The extent of transmission and its clinical relevance are issues under debate at present. HEV usually causes a self-limiting illness which subsides in a few weeks barring a few cases where fulminant hepatic failure occurs. The virus poses a risk of higher morbidity and mortality in pregnant females, patients with pre-existing liver disease and solid organ transplant recipients. As these categories of patient often require repeated transfusions or massive transfusions, they are exposed to a greater risk of transmission of HEV. At present, there is little evidence to advocate universal screening for this virus but considering that there is no definitive treatment for HEV induced hepatitis, selective screening should be advocated in blood products for high risk recipients in endemic areas."
"Telling, GC","transgenic mouse models and prion strains","2011","PRION PROTEINS","Web of Science","Here we review the known strain profiles of various prion diseases of animals and humans, and how transgenic mouse models are being used to elucidate basic molecular mechanisms of prion propagation and strain variation and for assessing the zoonotic potential of various animal prion strains."
"Pulendran, B; Ahmed, R","translating innate immunity into immunological memory: implications for vaccine development","2006","CELL","Web of Science","Vaccination is the most effective means of preventing infectious diseases. Despite the success of many vaccines, there is presently little knowledge of the immunological mechanisms that mediate their efficacy. Such information will be critical in the design of future vaccines against old and new infectious diseases. Recent advances in immunology are beginning to provide an intellectual framework with which to address fundamental questions about how the innate immune system shapes adaptive immunity. In this review, we summarize current knowledge about how the innate immune system modulates the quantity and quality of longterm T and B cell memory and protective immune responses to pathogens. In addition, we point out unanswered questions and identify critical challenges, the solution of which, we believe, will greatly facilitate the rational design of novel vaccines against a multitude of emerging infections."
"Rao, VD; Dattatreya, A; Dan, MM; Sarangi, T; Sasidhar, K; Rahul, J","translational approach in emerging infectious disease treatment: an update","2017","BIOMEDICAL RESEARCH-INDIA","Web of Science","While the rational understanding on the therapeutic and preventive care of epidemic diseases have enriched our knowledge, recent outbreak of complicated infectious diseases have presented newest challenges towards humankind. It started from the beginning of 19th century when disease infection from unknown origin preferred its host as human and mass mortality altered the socio-economic strata of various corners of the globe. For instance, human being witnessed some newly emerged global burdens such as HIV, Ebola hemorrhage fever, Zika Virus, Sever Acute Respiratory Syndrome (SARS) in the last century. Nevertheless, drastic changes in the environment, mutations in genetic composition and increased population extend the chances for new disease emergence. The inception of biomedical research has brought new diagnosis and treatment options; however, the outbreaks are being surprised and caused by new strains or modified strains. Translational biomedicine is a new context in this regard and raised the hope in integrated approaches to develop new diagnostic and treatment methods. In this review, we have summarized timely information about recently reported disease pathologies, which have challenged the world with mass mortality, and discussed about the causative agents, possible treatment strategies and future perspective for respective diseases."
"Itoh, Y","translational research on influenza virus infection using a nonhuman primate model","2016","PATHOLOGY INTERNATIONAL","Web of Science","Influenza virus infection is a seasonal infectious disease for humans, whereas it is also a zoonosis that is originally transmitted from animals to humans. Therefore, several animal models are used in research on influenza virus infection. We have used a nonhuman primate (NHP) model to extrapolate pathogenicity of various influenza viruses and efficacy of vaccines and antiviral drugs against the influenza viruses in humans. NHPs have genes, anatomical structure, and immune responses similar to those of humans as compared to other animal models. Using an NHP model, we revealed that the pandemic 2009 influenza A virus caused viral pneumonia as reported in human patients. Thus, it is thought that NHP models can be used to predict replication of emerging viruses in humans. We also examined the pathogenicity of highly pathogenic avian influenza viruses and evaluated a new therapeutic antibody in macaques under an immunocompromised condition. NHP models have provided promising results in research on other infectious diseases including Ebola virus and human/simian immunodeficiency virus infections. Thus, NHPs are important in biomedical research for determining the pathogenesis and for development of treatments, especially when clinical trials are difficult. We summarize the characteristics and advantages of research using NHP models in this review."
"Backert S, Boehm M, Wessler S, Tegtmeyer N.","transmigration route of campylobacter jejuni across polarized intestinal epithelial cells: paracellular transcellular or both?","2013","Cell Commun Signal.","PubMed",NA
"Sejvar JJ, Schonberger LB, Belay ED.","transmissible spongiform encephalopathies","2008","J Am Vet Med Assoc.","PubMed",NA
"Ruder MG, Lysyk TJ, Stallknecht DE, Foil LD, Johnson DJ, Chase CC, Dargatz DA, Gibbs EP.","transmission and epidemiology of bluetongue and epizootic hemorrhagic disease in north america: current perspectives research gaps and future directions","2015","Vector Borne Zoonotic Dis.","PubMed",NA
"Esch, KJ; Petersen, CA","transmission and epidemiology of zoonotic protozoal diseases of companion animals","2013","CLINICAL MICROBIOLOGY REVIEWS","Web of Science","Over 77 million dogs and 93 million cats share our households in the United States. Multiple studies have demonstrated the importance of pets in their owners' physical and mental health. Given the large number of companion animals in the United States and the proximity and bond of these animals with their owners, understanding and preventing the diseases that these companions bring with them are of paramount importance. Zoonotic protozoal parasites, including toxoplasmosis, Chagas' disease, babesiosis, giardiasis, and leishmaniasis, can cause insidious infections, with asymptomatic animals being capable of transmitting disease. Giardia and Toxoplasma gondii, endemic to the United States, have high prevalences in companion animals. Leishmania and Trypanosoma cruzi are found regionally within the United States. These diseases have lower prevalences but are significant sources of human disease globally and are expanding their companion animal distribution. Thankfully, healthy individuals in the United States are protected by intact immune systems and bolstered by good nutrition, sanitation, and hygiene. Immunocompromised individuals, including the growing number of obese and/or diabetic people, are at a much higher risk of developing zoonoses. Awareness of these often neglected diseases in all health communities is important for protecting pets and owners. To provide this awareness, this review is focused on zoonotic protozoal mechanisms of virulence, epidemiology, and the transmission of pathogens of consequence to pet owners in the United States."
"Brackney DE, Armstrong PM.","transmission and evolution of tick-borne viruses","2016","Curr Opin Virol.","PubMed",NA
"Wonham, MJ; Lewis, MA; Renclawowicz, J; Van den Driessche, P","transmission assumptions generate conflicting predictions in host-vector disease models: a case study in west nile virus","2006","ECOLOGY LETTERS","Web of Science","This review synthesizes the conflicting outbreak predictions generated by different biological assumptions in host-vector disease models. It is motivated by the North American outbreak of West Nile virus, an emerging infectious disease that has prompted at least five dynamical modelling studies. Mathematical models have long proven successful in investigating the dynamics and control of infectious disease systems. The underlying assumptions in these epidemiological models determine their mathematical structure, and therefore influence their predictions. A crucial assumption is the host-vector interaction encapsulated in the disease-transmission term, and a key prediction is the basic reproduction number, R-0. We connect these two model elements by demonstrating how the choice of transmission term qualitatively and quantitatively alters R-0 and therefore alters predicted disease dynamics and control implications. Whereas some transmission terms predict that reducing the host population will reduce disease outbreaks, others predict that this will exacerbate infection risk. These conflicting predictions are reconciled by understanding that different transmission terms apply biologically only at certain population densities, outside which they can generate erroneous predictions. For West Nile virus, R-0 estimates for six common North American bird species indicate that all would be effective outbreak hosts."
"Torgerson PR, Heath DD.","transmission dynamics and control options for echinococcus granulosus","2003","Parasitology.","PubMed",NA
"Auty, H; Morrison, LJ; Torr, SJ; Lord, J","transmission dynamics of rhodesian sleeping sickness at the interface of wildlife and livestock areas","2016","TRENDS IN PARASITOLOGY","Web of Science","Many wilderness areas of East and Southern Africa are foci for Rhodesian sleeping sickness, a fatal zoonotic disease caused by trypanosomes transmitted by tsetse flies. Although transmission in these foci is traditionally driven by wildlife reservoirs, rising human and livestock populations may increase the role of livestock in transmission cycles. Deciphering transmission dynamics at wildlife and livestock interface areas is key to developing appropriate control. Data are lacking for key parameters, including host distributions, tsetse density, and mortality rates, and the relative roles of livestock and wildlife as hosts in fragmented habitats, limiting the development of meaningful models to assist in the assessment and implementation of control strategies."
"Gonzalez AE, Lopez-Urbina T, Tsang B, Gavidia C, Garcia HH, Silva ME, Ramos DD, Manzanedo R, Sanchez-Hidalgo L, Gilman RH, Tsang VC; cysticercosis working group in Peru..","transmission dynamics of taenia solium and potential for pig-to-pig transmission","2006","Parasitol Int.","PubMed",NA
"Giraudoux P, Pleydell D, Raoul F, Quéré JP, Wang Q, Yang Y, Vuitton DA, Qiu J, Yang W, Craig PS.","transmission ecology of echinococcus multilocularis: what are the ranges of parasite stability among various host communities in china?","2006","Parasitol Int.","PubMed",NA
"Bordes, F; Blasdell, K; Morand, S","transmission ecology of rodent-borne diseases: new frontiers","2015","INTEGRATIVE ZOOLOGY","Web of Science","Rodents are recognized reservoir hosts for many human zoonotic pathogens. The current trends resulting from anthropocene defaunation suggest that in the future they, along with other small mammals, are likely to become the dominant mammals in almost all human-modified environments. Recent intricate studies on bat-borne emerging diseases have highlighted that many gaps exist in our understanding of the zoonotic transmission of rodent-borne pathogens. This has emphasized the need for scientists interested in rodent-borne diseases to integrate rodent ecology into their analysis of rodent-borne pathogen transmission in order to identify in more detail the mechanisms of spillover and chains of transmission. Further studies are required to better understand the true impact of rodent abundance and the importance of pathogen sharing and circulation in multi-hostmulti-pathogen communities. We also need to explore in more depth the roles of generalist and abundant species as the potential links between pathogen-sharing, co-infections and disease transmission."
"Hoover DG, Rodriguez-Palacios A.","transmission of clostridium difficile in foods","2013","Infect Dis Clin North Am.","PubMed",NA
"Osterholm MT, Moore KA, Kelley NS, Brosseau LM, Wong G, Murphy FA, Peters CJ, LeDuc JW, Russell PK, Van Herp M, Kapetshi J, Muyembe JJ, Ilunga BK, Strong JE, Grolla A, Wolz A, Kargbo B, Kargbo DK, Sanders DA, Kobinger GP.","transmission of ebola viruses: what we know and what we do not know","2015","MBio.","PubMed",NA
"Rebecca J. Eisen, Kenneth L. Gage","transmission of flea-borne zoonotic agents","2012","Annual Review of Entomology","Annual Reviews","Flea-borne zoonoses such as plague (Yersinia pestis) and murine typhus (Rickettsia typhi) caused significant numbers of human cases in the past and remain a public health concern. Other flea-borne human pathogens have emerged recently (e.g., Bartonella henselae, Rickettsia felis), and their mechanisms of transmission and impact on human health are not fully understood. Our review focuses on the ecology and epidemiology of the flea-borne bacterial zoonoses mentioned above with an emphasis on recent advancements in our understanding of how these organisms are transmitted by fleas, maintained in zoonotic cycles, and transmitted to humans. Emphasis is given to plague because of the considerable number of studies generated during the first decade of the twenty-first century that arose, in part, because of renewed interest in potential agents of bioterrorism, including Y. pestis."
"Weatherman S, Feldmann H, de Wit E.","transmission of henipaviruses","2017","Curr Opin Virol.","PubMed",NA
"Khuroo, MS; Khuroo, MS; Khuroo, NS","transmission of hepatitis e virus in developing countries","2016","VIRUSES-BASEL","Web of Science","Hepatitis E virus (HEV), an RNA virus of the Hepeviridae family, has marked heterogeneity. While all five HEV genotypes can cause human infections, genotypes HEV-1 and -2 infect humans alone, genotypes HEV-3 and -4 primarily infect pigs, boars and deer, and genotype HEV-7 primarily infects dromedaries. The global distribution of HEV has distinct epidemiological patterns based on ecology and socioeconomic factors. In resource-poor countries, disease presents as large-scale waterborne epidemics, and few epidemics have spread through person-to-person contact; however, endemic diseases within these countries can potentially spread through person-to-person contact or fecally contaminated water and foods. Vertical transmission of HEV from infected mother to fetus causes high fetal and perinatal mortality. Other means of transmission, such as zoonotic transmission, can fluctuate depending upon the region and strain of the virus. For instance, zoonotic transmission can sometimes play an insignificant role in human infections, such as in India, where human and pig HEV infections are unrelated. However, recently China and Southeast Asia have experienced a zoonotic spread of HEV-4 from pigs to humans and this has become the dominant mode of transmission of hepatitis E in eastern China. Zoonotic HEV infections in humans occur by eating undercooked pig flesh, raw liver, and sausages; through vocational contact; or via pig slurry, which leads to environmental contamination of agricultural products and seafood. Lastly, blood transfusion-associated HEV infections occur in many countries and screening of donors for HEV RNA is currently under serious consideration. To summarize, HEV genotypes 1 and 2 cause epidemic and endemic diseases in resource poor countries, primarily spreading through contaminated drinking water. HEV genotypes 3 and 4 on the other hand, cause autochthonous infections in developed, and many developing countries, by means of a unique zoonotic food-borne transmission."
"Mangili, A; Gendreau, MA","transmission of infectious diseases during commercial air travel","2005","LANCET","Web of Science","Because of the increasing ease and affordability of air travel and mobility of people, airborne, food-borne, vector-borne, and zoonotic infectious diseases transmitted during commercial air travel are an important public health issue. Heightened fear of bioterrorism agents has caused health officials to re-examine the potential of these agents to be spread by air travel. The severe acute respiratory syndrome outbreak of 2002 showed how air travel can have an important role in the rapid spread of newly emerging infections and could potentially even start pandemics. In addition to the flight crew, public health officials and health care professionals have an important role in the management of infectious diseases transmitted on airlines and should be familiar with guidelines provided by local and international authorities."
"Conrad PA, Miller MA, Kreuder C, James ER, Mazet J, Dabritz H, Jessup DA, Gulland F, Grigg ME.","transmission of toxoplasma: clues from the study of sea otters as sentinels of toxoplasma gondii flow into the marine environment","2005","Int J Parasitol.","PubMed",NA
"Plowright RK, Peel AJ, Streicker DG, Gilbert AT, McCallum H, Wood J, Baker ML, Restif O.","transmission or within-host dynamics driving pulses of zoonotic viruses in reservoir-host populations","2016","PLoS Negl Trop Dis.","PubMed",NA
"Lewis, HC; Wichmann, O; Duizer, E","transmission routes and risk factors for autochthonous hepatitis e virus infection in europe: a systematic review","2010","EPIDEMIOLOGY AND INFECTION","Web of Science","Increasing numbers of non-travel-associated hepatitis E virus (HEV) infections have been reported in Europe in recent years. Our objective was to review the evidence on risk factors and transmission routes of autochthonous HEV infection and hepatitis E in Europe in order to develop recommendations for future research, prevention and control. A systematic literature review was performed to identify all primary reports and studies published during 1998-2008 on hepatitis E in humans and animals in Europe by searching Pubmed, reference lists of major articles and international conference proceedings. Each of the 106 included studies was categorized into one of three evidence levels (EL) based on study design and diagnostic methodology. The evidence was generally weak (73 were assigned to EL1, two to both EL1 and EL2, and 30 to EL2), further compounded by the use of poorly validated serological assays in some studies. Only one case-control study was assigned to EL3. Persons with autochthonous hepatitis E infection were on average older than the general population and predominantly male. There was no evidence for one main transmission route of HEV infection or risk factor for hepatitis E. However, zoonotic transmission seemed likely and person-to-person transmission too inefficient to cause clinical disease. Multiple routes of transmission probably exist and should be further investigated through analytical studies and reliable diagnostic kits. Based on current evidence that points to zoonotic transmission from pigs, thorough cooking of all porcine products, prevention of cross-contamination in the kitchen and improved education for occupationally exposed people (e.g. pig farmers, veterinarians and sewage workers) may help prevent HEV infection. Although evidence for parenteral transmission is limited, it is recommended that a risk assessment is undertaken."
"FOUCHIER, RON A. M.","transmission studies resume for avian flu","2013","Science","Sociological Collection","In this article the authors discusses aspects of the resumption of avian influenza (H5N1) studies. They note that influenza virus researchers imposed a voluntary moratorium on any research involving avian influenza H5N1 viruses, but that researchers have a public health responsibility to resume their work. A discussion on how the controversy surrounding H5N1 virus transmission research has led to a global approach to dealing with dual-use research of concern is presented."
"Quinnell RJ, Courtenay O.","transmission reservoir hosts and control of zoonotic visceral leishmaniasis","2009","Parasitology.","PubMed",NA
"Martin J.R. Hall, Richard L. Wall, Jamie R. Stevens","traumatic myiasis: a neglected disease in a changing world","2016","Annual Review of Entomology","Annual Reviews","Traumatic myiasis, the parasitic infestation by fly larvae in traumatic lesions of the tissues of living vertebrates, is a serious medical condition in humans and a welfare and economic issue in domestic animals. New molecular studies are providing insights into its evolution and epidemiology. Nevertheless, its incidence in humans is generally underreported, particularly in tropical and subtropical regions. Myiasis in domestic animals has been studied more extensively, but continuous management is difficult and expensive. A key concern is the inadvertent introduction and global spread of agents of myiasis into nonendemic areas, facilitated by climate change and global transport. The incursion of the New World screwworm fly (Cochliomyia hominivorax) into Libya is the most notable of many such range shifts and demonstrates the potential risks of these parasites and the costs of removing them once established in a geographic area. Nevertheless, the insect agents of myiasis can be of societal benefit to forensic science and in medicine as an aid to wound treatment (larval therapy)."
"Leshem, E; Meltzer, E; Schwartz, E","travel-associated zoonotic bacterial diseases","2011","CURRENT OPINION IN INFECTIOUS DISEASES","Web of Science","Purpose of review Bacterial zoonoses are increasingly described in association with travel. Some bacterial zoonoses constitute important causes of post-travel illness. We focus on leptospirosis and rickettsiosis - the most common travel-associated bacterial zoonoses. Recent findings Leptospirosis is regarded to be the most common zoonotic disease worldwide. In industrialized countries recreational exposures, both domestic and overseas, are increasingly becoming a major source of infection. Asymptomatic infection is rare among travelers. Rickettsial diseases account for approximately 1.5-3.5% of febrile travelers. In several series of travel-related rickettsioses, the most common travel-related rickettsial disease is Rickettsia africae. Other rickettsioses including Q fever, scrub typhus and murine typhus are considered rare among travelers. Whereas timely diagnosis of both diseases is still based on exposure history, antigen detection tools to aid the diagnosis during the acute illness are under research and far from being available. Due to these constrains, currently, the true incidence of both diseases is probably underestimated. Summary Both leptospirosis and spotted fever may be rapidly fatal. Empiric doxycycline in severely ill febrile travelers should be considered. There is an urgent need for widely available antigen detection diagnostic tools to improve the detection of leptospirosis and rickettsial infections during the acute illness."
"Al-Tawfiq JA, Zumla A, Memish ZA.","travel implications of emerging coronaviruses: sars and mers-cov","2014","Travel Med Infect Dis.","PubMed",NA
"Boulware DR.","travel medicine for the extreme traveler","2006","Dis Mon.","PubMed",NA
"Blanton, JD; Rupprecht, CE","travel vaccination for rabies","2008","EXPERT REVIEW OF VACCINES","Web of Science","Rabies is a widely distributed zoonotic disease of major public-health importance. While canine rabies has been controlled throughout most of the developed world, it remains a significant burden in developing countries, particularly in Africa and Asia. Owing to the effectiveness of local rabies control in industrialized countries, the lack of familiarity with rabies may place certain travelers to countries with a higher prevalence of rabies at higher risk for potential contact with rabid animals, requiring rabies postexposure prophylaxis. Where necessary, some travelers may need to consider rabies pre-exposure vaccination, depending on planned activities and duration of travel within a given country. Education regarding behavior around unfamiliar animals and general familiarity with local rabies epidemiology is often sufficient to reduce a person's risk of exposure. Travelers to countries where rabies is prevalent should balance the cost and inconvenience of immunization to the benefits of rabies pre-exposure vaccination."
"Goeijenbier M, van Genderen P, Ward BJ, Wilder-Smith A, Steffen R, Osterhaus AD.","travellers and influenza: risks and prevention","2017","J Travel Med.","PubMed",NA
"Stuen S, Longbottom D.","treatment and control of chlamydial and rickettsial infections in sheep and goats","2011","Vet Clin North Am Food Anim Pract.","PubMed",NA
"Perez-Martinez, L; Blanco, JR; Oteo, JA","treatment of human infections caused by bartonella spp","2010","REVISTA ESPANOLA DE QUIMIOTERAPIA","Web of Science","Infections by Bartonella spp. include a wide spectrum of emerging and re-emerging infectious diseases. There is not a universal therapy for this infection, therefore treatment should be chosen individually. The aim of this review is to update the therapeutics aspects of this kind of infections."
"Griffith KS, Lewis LS, Mali S, Parise ME.","treatment of malaria in the united states: a systematic review","2007","JAMA.","PubMed",NA
"Bausch, DG; Sprecher, AG; Jeffs, B; Boumandouki, P","treatment of marburg and ebola hemorrhagic fevers: a strategy for testing new drugs and vaccines under outbreak conditions","2008","ANTIVIRAL RESEARCH","Web of Science","The filoviruses, Marburg and Ebola, have the dubious distinction of being associated with some of the highest case-fatality rates of any known infectious disease-approaching 90% in many outbreaks. In recent years, laboratory research on the filoviruses has produced treatments and vaccines that are effective in laboratory animals and that could potentially drastically reduce case-fatality rates and curtail outbreaks in humans. However, there are significant challenges in clinical testing of these products and eventual delivery to populations in need. Most cases of filovirus infection are recognized only in the setting of large outbreaks, often in the most remote and resource-poor areas of sub-Saharan Africa, with little infrastructure and few personnel experienced in clinical research. Significant political, legal, and socio-cultural barriers also exist. Here, we review the present research priorities and environment for field study of the filovirus hemorrhagic fevers and outline a strategy for future prospective clinical research on treatment and vaccine prevention. (C) 2008 Elsevier B.V. All rights reserved."
"Zibaei, M; Sadjjadi, SM","trend of toxocariasis in iran: a review on human and animal dimensions","2017","IRANIAN JOURNAL OF VETERINARY RESEARCH","Web of Science","One of the neglected soil and/or food-borne diseases with international public health importance is toxocariasis. Human cases are being increasingly reported from Asian, African, Oceania, European and the American countries. Hence, human toxocariasis (HT) is now considered as a major zoonosis with global and regional importance. In Iran, human and animal toxocariasis is an endemic disease with clinical and epidemiologic health problem aspects. Doubtless, understanding the epidemiology and the trend of this important parasitic disease and its affecting factors will provide the establishment of effective prevention and control programs. To better understand the trend of toxocariasis researches in Iran, this study was performed to analyze different aspects of this zoonotic disease including history, life cycle, species, human animals and environmental studies, diagnostic aspects and treatments to find out the gaps, including different aspects of clinical sings in human patients, new and specific recombinant antigens based on the native antigens, new diagnostic tools, especially rapid diagnostic tests, paratenic hosts status and new treatment procedures which is necessary to be investigated in the future studies on this important zoonotic disease."
"Shin, EH; Guk, SM; Kim, HJ; Lee, SH; Chai, JY","trends in parasitic diseases in the republic of korea","2008","TRENDS IN PARASITOLOGY","Web of Science","In the Republic of Korea, cases of zoonotic, opportunistic and imported parasitoses are being detected increasingly. Vivax malaria disappeared in the late 1970s but reemerged in 1993 and, currently, 1000-2000 cases occur annually. Brugian filariasis was endemic on offshore islands until 1990 but has now been eradicated. Soil-transmitted helminthiases (ascariasis, trichuriasis and hookworm infections) were highly prevalent until the 1970s but are now well controlled. However, food-borne trematode infections, such as clonorchiasis and intestinal trematodiases (including heterophyidiasis, echinostomiasis and gymnophalloidiasis), each show steady prevalence. This review focuses on trends in parasitic diseases in the Republic of Korea."
"Warnock DW.","trends in the epidemiology of invasive fungal infections","2007","Nihon Ishinkin Gakkai Zasshi.","PubMed",NA
"Furgal, CM; Garvin, TD; Jardine, CG","trends in the study of aboriginal health risks in canada","2010","INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH","Web of Science","Objective. To identify trends in the study of health risk in peer-reviewed and grey literature in Canadian Aboriginal populations from 1960 to 2007. Study design. Systematic literature review and analysis. Methods. Peer-reviewed literature was searched using 5 electronic library databases. The grey literature was searched using 3 online search engines, 4 agency websites and 2 online compiled databases. The search terms used were ""Canada,"" synonyms for Canadian Aboriginal peoples and ""risk."" Citations were screened for relevance to Aboriginal populations and risks to aspects of human health. Results. Both literatures show an exponential growth in risk-focused study of Canadian Aboriginal health issues over time. There is a geographic foci in the North with the Prairies and the West under-represented. Risk is most commonly used in relation to general health, environmental, zoonotic infections and chronic diseases in the peer-reviewed literature, and general health or environment in the grey literature. Most publications in both literatures are on generalized Aboriginal populations. When specified, a larger proportion of the publications relate to First Nations people, followed by Inuit. Little literature exists on Metis health risks in Canada. Conclusions. There has been an increase in publications about Aboriginal health risk in Canada over time. Trends reflect a research focus on the North and an increased interest in environment and health issues. Greater attention to mental health, addictions and Metis health is required. The increasing use of a risk-based analytical focus has potential implications for understanding the nature of Aboriginal health today and in the future. (Int J Circumpolar Health 2010; 69(4):322-332)"
"Dupouy-Camet J, Bourée P, Yera H.","trichinella and polar bears: a limited risk for humans","2017","J Helminthol.","PubMed",NA
"Gajadhar AA, Pozio E, Gamble HR, Nöckler K, Maddox-Hyttel C, Forbes LB, Vallée I, Rossi P, Marinculic A, Boireau P.","trichinella diagnostics and control: mandatory and best practices for ensuring food safety","2009","Vet Parasitol.","PubMed",NA
"Ribicich M, Gamble HR, Rosa A, Bolpe J, Franco A.","trichinellosis in argentina: an historical review","2005","Vet Parasitol.","PubMed",NA
"Bruschi F.","trichinellosis in developing countries: is it neglected?","2012","J Infect Dev Ctries.","PubMed",NA
"Kumar, HBC; Dhanze, H; Bhilegaonkar, KN; Kumar, A","trichinellosis: an under recognised zoonosis in india","2017","INDIAN JOURNAL OF ANIMAL SCIENCES","Web of Science","Trichinellosis also known as trichinosis is a meatborne zoonotic disease caused by Trichinella larvae present in the infected meat. The disease has worldwide distribution. Although this nematode has wide host range, pigs are the major source of infection to humans. The symptoms of trichinellosis in humans may vary from self-limiting disease to a severe disease terminating in death. On the other hand, animals rarely suffer from the disease. In India, Trichinella infection has been reported both from humans and animals. The disease is still largely under recognised in medical domain masking the true picture of the disease status in the country. The responsibility of preventing the human trichinellosis lies with both medical and veterinary fraternity. Hence, medical and veterinary professionals need to be updated to enable early diagnosis and treatment of trichinellosis cases and to identify and condemn the infected meat. Since the major route of transmission of trichinellosis to humans is by consumption of undercooked meat, strong and well-structured public health awareness program is also the need of the hour."
"Kaewpitoon, N; Kaewpitoon, SJ; Philasri, C; Leksomboon, R; Maneenin, C; Sirilaph, S; Pengsaa, P","trichinosis: epidemiology in thailand","2006","WORLD JOURNAL OF GASTROENTEROLOGY","Web of Science","Trichinosis is one of the most common food-borne parasitic zoonoses in Thailand and many outbreaks are reported each year. This paper reviews the history species, and epidemiology of the disease and food habits of the people with an emphasis on, the north, northeast, central and south regions of Thailand. The earliest record of trichinosis in Thailand was in 1962 in the Mae Sariang District, Mae Hong Son Province. Since then, about 130 outbreaks have been reported involving 7392 patients and 97 deaths (1962-2005). The highest number of cases, 557, was recorded in 1983. The annual epidemiological surveillance reports of the Bureau of Epidemiology, Department of Disease Control, Ministry of Public Health, Thailand, show that trichinosis cases increased from 61 in 1997 to 351 in 1998. In contrast to these figures, the number of reported cases decreased to 16 in 1999 and 128 cases in 2000. There was no record of trichinosis in 2001, but then the figures for 2002, 2003 and 2004 were 289, 126 and 212 respectively. The infected patients were mostly in the 35-44 years age group and the disease occurred more frequently in men than women at a ratio of 1.7-2.0:1. There were 84 reported cases of trichinosis in Chiang Rai, Nan, Chiang Mai, Si Sa ket, Nakhon Phanom, Kalasin, Nakhon Ratchasima, Nakhon Nayok, Nakhon Pathom and Surat Thani, provinces located in different parts of Thailand in 2005. The outbreaks were more common in the northern areas, especially in rural areas where people ate raw or under-cooked pork and/or wild animals. This indicates the need for health education programs to prevent and control trichinosis as soon as possible in the high-risk areas. (C) 2006 The WJG Press. All rights reserved."
